date,source,headline,direction,form_type,accession_no,source_url
2023-01-27,LW_TRACKER,", the FRB took two actions, clarifying that it considers many cryptocurrency activities to be inconsistent with the business of banking. First, the Federal Reserve announced that it had denied the application of Custodia Bank, Inc. (Custodia) to become a member of the Federal Reserve System. Second,",negative,POLICY_TRACKER,"2023-01-27_, the FRB took two actions, clarifying that it con",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2023-02-23,LW_TRACKER,", addressing crypto-asset risks and liquidity risks to banking organizations resulting from crypto-asset market vulnerabilities. Read more on Latham's Global Fintech &amp; Digital Assets Blog . On",negative,POLICY_TRACKER,"2023-02-23_, addressing crypto-asset risks and liquidity risk",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2023-08-08,LW_TRACKER,", by its Division of Supervision and Regulation. SR 23-7 established a program that sought to improve the FRB&rsquo;s ability to monitor and examine novel activities, including bank-fintech partnerships and activities involving digital assets and blockchain technology (for more information, see this",negative,POLICY_TRACKER,"2023-08-08_, by its Division of Supervision and Regulation. S",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2023-09-06,LW_TRACKER,", the Financial Accounting Standards Board (FASB) voted to approve Accounting for and Disclosure of Crypto Assets, an Accounting Standards Update (ASU) to FASB Accounting Standards Codification (ASC) Topic 350 (Intangibles&mdash;Goodwill and Other), originally proposed in",positive,POLICY_TRACKER,"2023-09-06_, the Financial Accounting Standards Board (FASB) ",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2023-09-13,LW_TRACKER,", the SEC issued a cease-and-desist order (the Order) against Stoner Cats 2, LLC (SC2) for an alleged unregistered securities offering relating to SC2&rsquo;s sale of $8.2 million worth of NFTs. The SEC alleged that the NFTs were issued to the public to finance the production of a web-based animated",negative,POLICY_TRACKER,"2023-09-13_, the SEC issued a cease-and-desist order (the Ord",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2023-11-07,LW_TRACKER,", the CFPB proposed a rule, Defining Larger Participants of a Market for General-Use Digital Consumer Payment Applications (the Proposal), to supervise large providers of digital wallets and payment apps. The Proposal aims to ensure that US-based non-bank financial service companies providing digita",negative,POLICY_TRACKER,"2023-11-07_, the CFPB proposed a rule, Defining Larger Partic",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2024-01-10,LW_TRACKER,", the SEC issued, on an accelerated basis, an Omnibus Approval Order (the Order) for proposed NYSE Arca, Nasdaq, and Cboe BZX rule changes seeking to list and trade shares of 11 spot bitcoin trusts. Spot bitcoin trusts hold actual bitcoin, as opposed to bitcoin futures trusts, which hold derivatives",negative,POLICY_TRACKER,"2024-01-10_, the SEC issued, on an accelerated basis, an Omni",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2024-03-06,LW_TRACKER,") A clear, consensus-driven approach to classifying assets and the functions they serve underpins robust markets and effective regulation. The evolving digital asset ecosystem has led many to develop proprietary taxonomies to classify digital assets and their related technology. In recognition of th",positive,POLICY_TRACKER,"2024-03-06_) A clear, consensus-driven approach to classifyin",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2024-03-27,LW_TRACKER,", Judge Katherine Failla of the US District Court for the Southern District of New York (SDNY) ruled (the Ruling) in favor of the SEC on all but one argument raised in Coinbase&rsquo;s motion for judgment on the pleadings, finding that the SEC adequately alleged the tokens at issue and Coinbase&rsqu",negative,POLICY_TRACKER,"2024-03-27_, Judge Katherine Failla of the US District Court ",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2024-10-24,LW_TRACKER,", the Office of Financial Innovation (OFI) of the Financial Industry Regulatory Authority, Inc. (FINRA) published &ldquo;The Metaverse and the Implications for the Securities Industry.&rdquo; The Report covers an overview of how FINRA defines &ldquo;the metaverse,&rdquo; market trends, potential app",negative,POLICY_TRACKER,"2024-10-24_, the Office of Financial Innovation (OFI) of the ",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2024-11-21,LW_TRACKER,", the Digital Asset Markets Subcommittee of the CFTC&rsquo;s GMAC issued a report that recommended expanding the use of non-cash collateral in derivatives markets through distributed ledger technology (DLT). In the Report, the Subcommittee identifies several ways in which using DLT may mitigate or a",negative,POLICY_TRACKER,"2024-11-21_, the Digital Asset Markets Subcommittee of the CF",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2024-11-26,LW_TRACKER,", a three-judge panel of the US Court of Appeals for the Fifth Circuit reversed a Texas District Court decision and overturned Treasury&rsquo;s Office of Foreign Assets Control (OFAC) sanctions designations against certain smart contracts associated with decentralized virtual currency &ldquo;mixer&r",negative,POLICY_TRACKER,"2024-11-26_, a three-judge panel of the US Court of Appeals f",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-01-10,LW_TRACKER,", the CFPB issued a proposed interpretative rule that would extend the consumer protections of the Electronic Funds Transfer Act (EFTA) to certain stablecoin and other virtual currency accounts, video game accounts, and credit card rewards points accounts (the Proposed Interpretation). In issuing th",negative,POLICY_TRACKER,"2025-01-10_, the CFPB issued a proposed interpretative rule t",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-02-04,LW_TRACKER,", Commissioner Hester Peirce, leader of the SEC&rsquo;s newly established Crypto Task Force, published a statement outlining the Task Force&rsquo;s 10 main areas of focus. Key items include the security status of digital assets, defining the SEC&rsquo;s jurisdiction, relief for token offerings, regi",negative,POLICY_TRACKER,"2025-02-04_, Commissioner Hester Peirce, leader of the SEC&rs",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-02-20,LW_TRACKER,", the SEC announced the establishment of the Cyber and Emerging Technologies Unit (CETU), which will focus on combatting cyber-related misconduct and protecting retail investors from fraud in the emerging technologies sector. The new unit, led by Laura D&rsquo;Allaird, replaces the SEC&rsquo;s Crypt",negative,POLICY_TRACKER,"2025-02-20_, the SEC announced the establishment of the Cyber",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-02-27,LW_TRACKER,", the SEC Staff published a Statement on Meme Coins (the Statement). According to the Staff, transactions in meme coins that fit the description above &ldquo;do not involve the offer and sale of securities under the federal securities laws.&rdquo; The Statement is the first tangible clarification of",negative,POLICY_TRACKER,"2025-02-27_, the SEC Staff published a Statement on Meme Coin",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-03-07,LW_TRACKER,", the OCC reaffirmed that national banks and federal savings associations (collectively, banks) may participate in a range of cryptocurrency activities, including crypto custody, certain stablecoin activities, and participation in independent node verification networks. Specifically, the OCC issued ",negative,POLICY_TRACKER,"2025-03-07_, the OCC reaffirmed that national banks and feder",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-03-28,LW_TRACKER,", the FDIC issued a Financial Institution Letter (FIL-7-2025) that provides new guidance for FDIC-supervised institutions engaging in or seeking to engage in crypto-related activities (the Guidance). Specifically, the Guidance clarifies that FDIC-supervised institutions can engage in permissible cry",negative,POLICY_TRACKER,"2025-03-28_, the FDIC issued a Financial Institution Letter (",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-04-04,LW_TRACKER,", the SEC&rsquo;s Division of Corporation Finance (the Staff) published a Statement on Stablecoins clarifying that in the Staff&rsquo;s view the offer and sale of certain dollar-backed stablecoins does not involve an offer and sale of securities requiring registration under the US federal securities",positive,POLICY_TRACKER,"2025-04-04_, the SEC&rsquo;s Division of Corporation Finance ",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-04-07,LW_TRACKER,", titled &ldquo;Ending Regulation by Prosecution.&rdquo; In that memo, Deputy Attorney General Blanche stated that DOJ &ldquo;is not a digital assets regulator&rdquo; and &ldquo;will no longer pursue litigation or enforcement actions that have the effect of superimposing regulatory frameworks on dig",negative,POLICY_TRACKER,"2025-04-07_, titled &ldquo;Ending Regulation by Prosecution.&",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-04-10,LW_TRACKER,", the SEC&rsquo;s Division of Corporation Finance (the Staff) published a Statement on Offerings and Registrations of Securities in the Crypto Asset Markets (the Statement). The Statement addresses the application of certain disclosure requirements under the Securities Act of 1933 and the Securities",negative,POLICY_TRACKER,"2025-04-10_, the SEC&rsquo;s Division of Corporation Finance ",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-04-24,LW_TRACKER,", the FRB announced it will rescind guidance for banks issued in 2022 related to digital asset and stablecoin activities. It also announced that, together with the FDIC, it will join the OCC (collectively, the agencies) in withdrawing from two 2023 joint statements that limited banks&rsquo; ability ",negative,POLICY_TRACKER,"2025-04-24_, the FRB announced it will rescind guidance for b",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-05-07,LW_TRACKER,", the OCC published Interpretive Letter #1184 (a response to an inquiry from a regulated entity) affirming that national banks and federal savings associations (collectively, banks) may provide and outsource cryptocurrency custody and execution services on behalf of customers. Interpretive Letter #1",negative,POLICY_TRACKER,"2025-05-07_, the OCC published Interpretive Letter #1184 (a r",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-05-08,LW_TRACKER,", speech , Commissioner Peirce stated that the SEC&rsquo;s Crypto Task Force &ldquo;is considering a potential exemptive order that would allow firms to use DLT to issue, trade, and settle securities&hellip; [which would] allow firms to use innovative trading systems for eligible tokenized securitie",negative,POLICY_TRACKER,"2025-05-08_, speech , Commissioner Peirce stated that the SEC",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-05-09,LW_TRACKER,", President Trump signed into law a congressional resolution of disapproval under the Congressional Review Act (CRA). Read more on Latham's Global Fintech &amp; Digital Assets Blog .",positive,POLICY_TRACKER,"2025-05-09_, President Trump signed into law a congressional ",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-05-28,LW_TRACKER,", the DOL issued Compliance Assistance Release 2025-01, which rescinds its 2022 guidance that cautioned plan fiduciaries to exercise &ldquo;extreme care before they consider adding a cryptocurrency option to a 401(k) plan&rsquo;s investment menu for plan participants.&rdquo; According to the DOL, &l",negative,POLICY_TRACKER,"2025-05-28_, the DOL issued Compliance Assistance Release 202",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-05-29,LW_TRACKER,", the SEC&rsquo;s Division of Corporation Finance (the Staff) published a Statement on Protocol Staking Activities clarifying that in the Staff&rsquo;s view, certain defined protocol staking activities do not involve the offer and sale of securities requiring registration under the US federal securi",negative,POLICY_TRACKER,"2025-05-29_, the SEC&rsquo;s Division of Corporation Finance ",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-07-01,LW_TRACKER,", the SEC&rsquo;s Division of Corporation Finance (the Staff) published a Statement on Crypto Asset Exchange-Traded Products (the Statement). The Statement addresses the application of certain disclosure requirements under the Securities Act of 1933 and the Securities Exchange Act of 1934 to offerin",negative,POLICY_TRACKER,"2025-07-01_, the SEC&rsquo;s Division of Corporation Finance ",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-07-14,LW_TRACKER,", the FRB, the FDIC, and the OCC (collectively, the agencies) issued a joint statement on risk-management considerations for banking organizations engaged in cryptoasset safekeeping. The joint statement addresses potential risk-management considerations under existing laws and regulations related to",negative,POLICY_TRACKER,"2025-07-14_, the FRB, the FDIC, and the OCC (collectively, th",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-07-29,LW_TRACKER,", the SEC voted to permit in-kind creations and redemptions by authorized participants for cryptoasset exchange-traded product (ETP) shares, which were previously limited to creations and redemptions on an in-cash basis. In-kind creation and redemption is consistent with other commodity-based ETPs a",positive,POLICY_TRACKER,"2025-07-29_, the SEC voted to permit in-kind creations and re",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-08-04,LW_TRACKER,", Acting Chair Pham announced that the first initiative in the CFTC&rsquo;s crypto sprint would be to solicit feedback on a plan to allow &ldquo;trading spot crypto asset contracts that are listed on a CFTC-registered futures exchange&rdquo; (known as designated contract markets (DCMs)). As currentl",positive,POLICY_TRACKER,"2025-08-04_, Acting Chair Pham announced that the first initi",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-08-04,LW_TRACKER,", FinCEN issued a notice urging financial institutions to be vigilant in identifying and reporting suspicious activity involving convertible virtual currency kiosks, also known as crypto ATMs. FinCEN cited a growing number of risks involving crypto ATMs, including fraud, cybercrime, and drug traffic",negative,POLICY_TRACKER,"2025-08-04_, FinCEN issued a notice urging financial institut",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-08-18,LW_TRACKER,", including on &ldquo;whether there are any implications under the securities laws or regulations with respect to an SEC framework for trading of non-security assets that are part of an investment contract.&rdquo; Read more on Latham&rsquo;s Global Fintech &amp; Digital Assets Blog . <svg role=""img""",positive,POLICY_TRACKER,"2025-08-18_, including on &ldquo;whether there are any implic",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-08-21,LW_TRACKER,", Acting Assistant Attorney General of DOJ&rsquo;s Criminal Division Matthew Galeotti gave a speech at the American Innovation Project Summit in Jackson, Wyo., in which he announced that DOJ will no longer pursue unlicensed money transmission charges against software developers that create decentral",negative,POLICY_TRACKER,"2025-08-21_, Acting Assistant Attorney General of DOJ&rsquo;s",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-09-17,LW_TRACKER,", the SEC approved proposed rule changes by three national securities exchanges to adopt generic listing standards for exchange-traded products (ETPs) that hold spot commodities, including digital assets. Such ETPs will be permitted to list and trade on exchanges without being subject to prior SEC a",positive,POLICY_TRACKER,"2025-09-17_, the SEC approved proposed rule changes by three ",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-09-18,LW_TRACKER,", Acting Chair Pham reiterated the message that the CFTC will work to &ldquo;legally onshore trading activity efficiently and safely under CFTC regulations.&rdquo; She added that the CFTC will &ldquo;explore whether trading platforms authorized under the EU Markets in Crypto-Assets Regulation (MiCA)",positive,POLICY_TRACKER,"2025-09-18_, Acting Chair Pham reiterated the message that th",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-09-19,LW_TRACKER,", Treasury issued an Advance Notice of Proposed Rulemaking (ANPRM), seeking public comment related to its implementation of the Guiding and Establishing National Innovation for U.S. Stablecoins (GENIUS) Act, a comprehensive framework for the federal regulation of payment stablecoins enacted on",negative,POLICY_TRACKER,"2025-09-19_, Treasury issued an Advance Notice of Proposed Ru",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-09-23,LW_TRACKER,", CFTC Acting Chair Caroline D. Pham announced that as part of the CFTC&rsquo;s crypto sprint, it is seeking input on the use of tokenized collateral (including stablecoins) in derivatives markets. The request for comment follows the Presidential Working Group on Digital Asset Markets Report, which ",positive,POLICY_TRACKER,"2025-09-23_, CFTC Acting Chair Caroline D. Pham announced tha",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-09-29,LW_TRACKER,", the SEC Division of Corporation Finance issued a no-action letter (NAL) stating that it would not recommend enforcement against a certain foundation company and blockchain token issuer (the Foundation) under Section 5 of the Securities Act of 1933. Further it would not require registration under S",negative,POLICY_TRACKER,"2025-09-29_, the SEC Division of Corporation Finance issued a",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-09-30,LW_TRACKER,", the SEC Division of Investment Management issued a no-action letter allowing for the treatment of a state-chartered trust company as a &ldquo;bank,&rdquo; under the Investment Advisers Act of 1940 and the Investment Company Act of 1940 (and, therefore, an institution permitted to custody assets), ",negative,POLICY_TRACKER,"2025-09-30_, the SEC Division of Investment Management issued",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-10-20,LW_TRACKER,. It builds on the Request for Comment on Innovative Methods to Detect Illicit Activity Involving Digital Assets issued by Treasury on,negative,POLICY_TRACKER,2025-10-20_. It builds on the Request for Comment on Innovati,https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-10-21,LW_TRACKER,". In that speech, he noted that &ldquo;distributed ledgers and crypto-assets are no longer on the fringes but increasingly are woven into the fabric of the payment and financial systems.&rdquo; He also said that the Federal Reserve &ldquo;can and should do more to support those actively transforming",positive,POLICY_TRACKER,"2025-10-21_. In that speech, he noted that &ldquo;distributed",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-11-12,LW_TRACKER,", Securities and Exchange Commission (SEC) Chair Paul Atkins delivered a significant speech about digital assets at the Federal Reserve Bank of Philadelphia&rsquo;s Ninth Annual Fintech Conference. In the speech, Chair Atkins shared his views on digital assets emerging from Project Crypto, including",negative,POLICY_TRACKER,"2025-11-12_, Securities and Exchange Commission (SEC) Chair P",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-11-13,LW_TRACKER,", at the Federal Reserve Bank of Philadelphia&rsquo;s Ninth Annual Fintech Conference, FDIC Acting Chairman Travis Hill outlined the banking regulators&rsquo; plans for integrating stablecoins into the traditional banking system. As part of the FDIC&rsquo;s responsibilities under the GENIUS Act, ena",negative,POLICY_TRACKER,"2025-11-13_, at the Federal Reserve Bank of Philadelphia&rsqu",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-11-18,LW_TRACKER,", the OCC issued Interpretive Letter 1186, confirming that national banks may hold limited amounts of cryptoassets on their balance sheets as principal where reasonably necessary to pay blockchain network fees (aka &ldquo;gas fees&rdquo;), and may pay such fees on blockchain networks to facilitate o",negative,POLICY_TRACKER,"2025-11-18_, the OCC issued Interpretive Letter 1186, confirm",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-11-24,LW_TRACKER,", the SEC Division of Corporation Finance issued a no-action letter (NAL) stating that it would not recommend enforcement against Fuse Crypto Limited or its Fuse Token under Section 5 of the Securities Act of 1933. Furthermore, Fuse will not be required to register the tokens with the SEC under Sect",negative,POLICY_TRACKER,"2025-11-24_, the SEC Division of Corporation Finance issued a",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-12-08,LW_TRACKER,", the CFTC&rsquo;s Market Participants Division issued CFTC Letter 25-40, a no-action letter (NAL) stating that, subject to certain conditions, it would not recommend CFTC enforcement action against an FCM that accepts payment stablecoins and other non-securities digital assets (e.g., bitcoin and et",negative,POLICY_TRACKER,"2025-12-08_, the CFTC&rsquo;s Market Participants Division is",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-12-08,LW_TRACKER,", the CFTC launched a digital assets pilot program allowing FCMs to accept bitcoin, ether, and USDC as customer margin collateral in derivatives markets. The CFTC also issued guidance on tokenized collateral and withdrawal of outdated requirements given the enactment of the GENIUS Act. On",negative,POLICY_TRACKER,"2025-12-08_, the CFTC launched a digital assets pilot program",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-12-09,LW_TRACKER,", the OCC issued Interpretive Letter 1188, confirming that national banks may engage in riskless principal cryptoasset transactions as part of the business of banking. According to the OCC, &ldquo;[i]n a riskless principal transaction, an intermediary purchases an asset from one counterparty for imm",negative,POLICY_TRACKER,"2025-12-09_, the OCC issued Interpretive Letter 1188, confirm",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-12-11,LW_TRACKER,", the SEC Division of Trading and Markets issued a no-action letter (NAL) stating that it would not recommend enforcement against the Depository Trust Company (DTC) under the applicable securities laws if DTC operates a tightly scoped, three-year pilot to tokenize DTC-custodied assets on supported b",negative,POLICY_TRACKER,"2025-12-11_, the SEC Division of Trading and Markets issued a",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-12-11,LW_TRACKER,", Acting Chair Pham announced that the CFTC was &ldquo;withdrawing outdated guidance related to actual delivery of &lsquo;virtual currencies,&rsquo; given the substantial developments in crypto asset markets.&rdquo; The final interpretative guidance (the Actual Delivery Guidance) was published on",positive,POLICY_TRACKER,"2025-12-11_, Acting Chair Pham announced that the CFTC was &l",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-12-12,LW_TRACKER,", the OCC announced its conditional approval of five digital asset entities&rsquo; applications for national trust bank charters, including two de novo national trust bank charters and three conversions from state trust companies to national trust banks. In granting its approval, the OCC stated that",negative,POLICY_TRACKER,"2025-12-12_, the OCC announced its conditional approval of fi",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-12-16,LW_TRACKER,", the FDIC issued a notice of proposed rulemaking (the Proposal) to implement Section 5 of the Guiding and Establishing National Innovation for US Stablecoins Act (GENIUS Act). The GENIUS Act, enacted by Congress in",negative,POLICY_TRACKER,"2025-12-16_, the FDIC issued a notice of proposed rulemaking ",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-12-17,LW_TRACKER,. Banking Regulators Issue Joint Statement on Crypto Risks,negative,POLICY_TRACKER,2025-12-17_. Banking Regulators Issue Joint Statement on Cryp,https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-12-17,LW_TRACKER,", the FRB withdrew its 2023 Policy Statement and issued a new policy statement regarding the treatment of digital assets and other innovative products and services. For context, the 2023 Policy Statement governed &ldquo;novel activities&rdquo; that both FDIC-insured state member banks and",negative,POLICY_TRACKER,"2025-12-17_, the FRB withdrew its 2023 Policy Statement and i",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2025-12-17,LW_TRACKER,", the SEC Division of Trading and Markets issued a statement on the application of the &ldquo;possession&rdquo; requirements of Rule 15c3-3 under the Securities Exchange Act of 1934 (the Customer Protection Rule) to fully paid and excess margin digital asset securities. Building on the",negative,POLICY_TRACKER,"2025-12-17_, the SEC Division of Trading and Markets issued a",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
